[2264, 1273, 11, 17, 'note', 'A', 0.91]
[474, 1435, 11, 17, 'note', 'A', 0.91]
[2338, 1233, 11, 17, 'note', 'A', 0.91]
[2373, 1595, 11, 17, 'note', 'A', 0.91]
[2388, 920, 11, 17, 'note', 'A', 0.91]
[856, 592, 11, 17, 'note', 'A', 0.91]
[1957, 644, 11, 17, 'note', 'A', 0.91]
[1684, 701, 11, 17, 'note', 'A', 0.91]
[1773, 1773, 11, 17, 'note', 'A', 0.91]
[1923, 1194, 11, 17, 'note', 'A', 0.91]
[1653, 283, 11, 17, 'note', 'A', 0.91]
[2296, 633, 11, 17, 'note', 'A', 0.91]
[1077, 817, 11, 17, 'note', 'A', 0.91]
[1464, 1793, 11, 17, 'note', 'A', 0.91]
[392, 206, 11, 17, 'note', 'A', 0.91]
[1480, 284, 11, 17, 'note', 'A', 0.91]
[700, 1127, 11, 17, 'note', 'A', 0.91]
[1902, 61, 11, 17, 'note', 'A', 0.91]
[2391, 1688, 11, 17, 'note', 'A', 0.91]
[1687, 696, 11, 17, 'note', 'A', 0.91]
[2172, 91, 11, 17, 'note', 'A', 0.91]
[2287, 1233, 11, 17, 'note', 'A', 0.91]
[66, 423, 11, 17, 'note', 'A', 0.91]
[437, 765, 11, 17, 'note', 'A', 0.91]
[422, 1704, 11, 17, 'note', 'A', 0.91]
[1963, 769, 11, 17, 'note', 'A', 0.91]
[2439, 399, 11, 17, 'note', 'A', 0.91]
[1816, 919, 11, 17, 'note', 'A', 0.91]
[2365, 1334, 11, 17, 'note', 'A', 0.91]
[1736, 1676, 11, 17, 'note', 'A', 0.91]
[1722, 1252, 11, 17, 'note', 'A', 0.91]
[402, 1706, 11, 17, 'note', 'A', 0.91]
[463, 1177, 11, 17, 'note', 'A', 0.91]
[1083, 515, 11, 17, 'note', 'A', 0.91]
[1265, 1127, 11, 17, 'note', 'A', 0.91]
[425, 1696, 11, 17, 'note', 'A', 0.91]
[1939, 1627, 11, 17, 'note', 'A', 0.91]
[2198, 1735, 11, 17, 'note', 'A', 0.91]
[1080, 836, 11, 17, 'note', 'A', 0.91]
[1543, 1554, 11, 17, 'note', 'A', 0.91]
[734, 1746, 11, 17, 'note', 'A', 0.91]
[1265, 948, 11, 17, 'note', 'A', 0.91]
[1485, 332, 11, 17, 'note', 'A', 0.91]
[2157, 45, 11, 17, 'note', 'A', 0.91]
[2413, 486, 11, 17, 'note', 'A', 0.91]
[1873, 7, 11, 17, 'note', 'A', 0.91]
[1794, 542, 11, 17, 'note', 'A', 0.91]
[1233, 1606, 11, 17, 'note', 'A', 0.91]
[682, 1018, 11, 17, 'note', 'A', 0.91]
[1943, 1624, 11, 17, 'note', 'A', 0.91]
[2277, 625, 11, 17, 'note', 'A', 0.91]
[534, 693, 11, 17, 'note', 'A', 0.91]
[716, 1671, 11, 17, 'note', 'A', 0.91]
[855, 591, 11, 17, 'note', 'A', 0.91]
[862, 1771, 11, 17, 'note', 'A', 0.91]
[1252, 1616, 11, 17, 'note', 'A', 0.91]
[1745, 918, 11, 17, 'note', 'A', 0.91]
[1953, 651, 11, 17, 'note', 'A', 0.91]
[2235, 353, 11, 17, 'note', 'A', 0.91]
[1277, 481, 11, 17, 'note', 'A', 0.91]
[1297, 1393, 11, 17, 'note', 'A', 0.91]
[2136, 65, 11, 17, 'note', 'A', 0.91]
[1423, 65, 11, 17, 'note', 'A', 0.91]
[424, 1698, 11, 17, 'note', 'A', 0.91]
[855, 480, 11, 17, 'note', 'A', 0.91]
[1276, 1403, 11, 17, 'note', 'A', 0.91]
[1648, 601, 11, 17, 'note', 'A', 0.91]
[496, 895, 11, 17, 'note', 'A', 0.91]
[2435, 1658, 11, 17, 'note', 'A', 0.91]
[43, 584, 11, 17, 'note', 'A', 0.91]
[1808, 1764, 11, 17, 'note', 'A', 0.91]
[1286, 1219, 11, 17, 'note', 'A', 0.91]
[2355, 644, 11, 17, 'note', 'A', 0.91]
[1999, 401, 11, 17, 'note', 'A', 0.91]
[2269, 1553, 11, 17, 'note', 'A', 0.91]
[1531, 1447, 11, 17, 'note', 'A', 0.91]
[1917, 1417, 11, 17, 'note', 'A', 0.91]
[1986, 346, 11, 17, 'note', 'A', 0.91]
[1435, 1273, 11, 17, 'note', 'A', 0.91]
[495, 531, 11, 17, 'note', 'A', 0.91]
[2218, 252, 11, 17, 'note', 'A', 0.91]
[2366, 818, 11, 17, 'note', 'A', 0.91]
[1443, 1790, 11, 17, 'note', 'A', 0.91]
[1252, 1617, 11, 17, 'note', 'A', 0.91]
[2231, 437, 11, 17, 'note', 'A', 0.91]
[2410, 1303, 11, 17, 'note', 'A', 0.91]
[2274, 630, 11, 17, 'note', 'A', 0.91]
[1096, 947, 11, 17, 'note', 'A', 0.91]
[1093, 207, 11, 17, 'note', 'A', 0.91]
[1251, 491, 11, 17, 'note', 'A', 0.91]
[1811, 1340, 11, 17, 'note', 'A', 0.91]
[2239, 344, 11, 17, 'note', 'A', 0.91]
[1722, 1417, 11, 17, 'note', 'A', 0.91]
[2000, 405, 11, 17, 'note', 'A', 0.91]
[479, 612, 11, 17, 'note', 'A', 0.91]
[861, 1326, 11, 17, 'note', 'A', 0.91]
[1975, 292, 11, 17, 'note', 'A', 0.91]
[1977, 1201, 11, 17, 'note', 'A', 0.91]
[2352, 645, 11, 17, 'note', 'A', 0.91]
[2384, 301, 11, 17, 'note', 'A', 0.91]
[458, 695, 11, 17, 'note', 'A', 0.91]
[1080, 1062, 11, 17, 'note', 'A', 0.91]
[2380, 1243, 11, 17, 'note', 'A', 0.91]
[1059, 94, 11, 17, 'note', 'A', 0.91]
[1722, 999, 11, 17, 'note', 'A', 0.91]
[1946, 542, 11, 17, 'note', 'A', 0.91]
[532, 886, 11, 17, 'note', 'A', 0.91]
[1288, 1791, 11, 17, 'note', 'A', 0.91]
[706, 1641, 11, 17, 'note', 'A', 0.91]
[1552, 1656, 11, 17, 'note', 'A', 0.91]
[1082, 1374, 11, 17, 'note', 'A', 0.91]
[692, 1059, 11, 17, 'note', 'A', 0.91]
[864, 1665, 11, 17, 'note', 'A', 0.91]
[865, 1767, 11, 17, 'note', 'A', 0.91]
[675, 1218, 11, 17, 'note', 'A', 0.91]
[1518, 621, 11, 17, 'note', 'A', 0.91]
[1765, 931, 11, 17, 'note', 'A', 0.91]
[1974, 233, 11, 17, 'note', 'A', 0.91]
[72, 1575, 11, 17, 'note', 'A', 0.91]
[534, 1522, 11, 17, 'note', 'A', 0.91]
[1756, 1472, 11, 17, 'note', 'A', 0.91]
[2367, 1006, 11, 17, 'note', 'A', 0.91]
[1753, 1574, 11, 17, 'note', 'A', 0.91]
[2218, 1061, 11, 17, 'note', 'A', 0.91]
[1776, 1667, 11, 17, 'note', 'A', 0.91]
[500, 437, 11, 17, 'note', 'A', 0.91]
[2153, 54, 11, 17, 'note', 'A', 0.91]
[1979, 1193, 11, 17, 'note', 'A', 0.91]
[2169, 407, 11, 17, 'note', 'A', 0.91]
[2348, 648, 11, 17, 'note', 'A', 0.91]
[2170, 407, 11, 17, 'note', 'A', 0.91]
[878, 1100, 11, 17, 'note', 'A', 0.91]
[674, 1211, 11, 17, 'note', 'A', 0.91]
[720, 1662, 11, 17, 'note', 'A', 0.91]
[502, 972, 11, 17, 'note', 'A', 0.91]
[1984, 287, 11, 17, 'note', 'A', 0.91]
[670, 397, 11, 17, 'note', 'A', 0.91]
[460, 446, 11, 17, 'note', 'A', 0.91]
[1751, 1476, 11, 17, 'note', 'A', 0.91]
[1765, 830, 11, 17, 'note', 'A', 0.91]
[2244, 1727, 11, 17, 'note', 'A', 0.91]
[400, 196, 11, 17, 'note', 'A', 0.91]
[2204, 1659, 11, 17, 'note', 'A', 0.91]
[651, 1568, 11, 17, 'note', 'A', 0.91]
[1464, 1161, 11, 17, 'note', 'A', 0.91]
[2176, 438, 11, 17, 'note', 'A', 0.91]
[624, 476, 11, 17, 'note', 'A', 0.91]
[1282, 1275, 11, 17, 'note', 'A', 0.91]
[1718, 1200, 11, 17, 'note', 'A', 0.91]
[2432, 197, 11, 17, 'note', 'A', 0.91]
[2382, 1776, 11, 17, 'note', 'A', 0.91]
[467, 812, 11, 17, 'note', 'A', 0.91]
[706, 762, 11, 17, 'note', 'A', 0.91]
[469, 1169, 11, 17, 'note', 'A', 0.91]
[853, 754, 11, 17, 'note', 'A', 0.91]
[1945, 550, 11, 17, 'note', 'A', 0.91]
[1044, 197, 11, 17, 'note', 'A', 0.91]
[1083, 1060, 11, 17, 'note', 'A', 0.91]
[2414, 485, 11, 17, 'note', 'A', 0.91]
[1656, 283, 11, 17, 'note', 'A', 0.91]
[1084, 1061, 11, 17, 'note', 'A', 0.91]
[481, 1425, 11, 17, 'note', 'A', 0.91]
[1730, 732, 11, 17, 'note', 'A', 0.91]
[2438, 400, 11, 17, 'note', 'A', 0.91]
[1333, 1392, 11, 17, 'note', 'A', 0.91]
[1719, 696, 11, 17, 'note', 'A', 0.91]
[450, 1018, 11, 17, 'note', 'A', 0.91]
[2398, 1240, 11, 17, 'note', 'A', 0.91]
[540, 1212, 11, 17, 'note', 'A', 0.91]
[2152, 55, 11, 17, 'note', 'A', 0.91]
[2439, 297, 11, 17, 'note', 'A', 0.91]
[2233, 1458, 11, 17, 'note', 'A', 0.91]
[1491, 393, 11, 17, 'note', 'A', 0.91]
[2144, 57, 11, 17, 'note', 'A', 0.91]
[2429, 633, 11, 17, 'note', 'A', 0.91]
[437, 758, 11, 17, 'note', 'A', 0.91]
[861, 374, 11, 17, 'note', 'A', 0.91]
[1492, 393, 11, 17, 'note', 'A', 0.91]
[2382, 1087, 11, 17, 'note', 'A', 0.91]
[2335, 12, 11, 17, 'note', 'A', 0.91]
[1492, 401, 11, 17, 'note', 'A', 0.91]
[419, 1705, 11, 17, 'note', 'A', 0.91]
[561, 1197, 11, 17, 'note', 'A', 0.91]
[1285, 944, 11, 17, 'note', 'A', 0.91]
[1438, 1791, 11, 17, 'note', 'A', 0.91]
[1494, 941, 11, 17, 'note', 'A', 0.91]
[1271, 811, 11, 17, 'note', 'A', 0.91]
[2170, 487, 11, 17, 'note', 'A', 0.91]
[683, 1304, 11, 17, 'note', 'A', 0.91]
[447, 1135, 11, 17, 'note', 'A', 0.91]
[1077, 1382, 11, 17, 'note', 'A', 0.91]
[498, 808, 11, 17, 'note', 'A', 0.91]
[694, 651, 11, 17, 'note', 'A', 0.91]
[1923, 1193, 11, 17, 'note', 'A', 0.91]
[539, 396, 11, 17, 'note', 'A', 0.91]
[1783, 929, 11, 17, 'note', 'A', 0.91]
[906, 579, 11, 17, 'note', 'A', 0.91]
[876, 1106, 11, 17, 'note', 'A', 0.91]
[1763, 1038, 11, 17, 'note', 'A', 0.91]
[1903, 476, 11, 17, 'note', 'A', 0.91]
[1324, 1604, 11, 17, 'note', 'A', 0.91]
[2182, 195, 11, 17, 'note', 'A', 0.91]
[2284, 1235, 11, 17, 'note', 'A', 0.91]
[668, 390, 11, 17, 'note', 'A', 0.91]
[687, 1057, 11, 17, 'note', 'A', 0.91]
[878, 374, 11, 17, 'note', 'A', 0.91]
[1084, 1053, 11, 17, 'note', 'A', 0.91]
[1239, 669, 11, 17, 'note', 'A', 0.91]
[1272, 802, 11, 17, 'note', 'A', 0.91]
[1724, 991, 11, 17, 'note', 'A', 0.91]
[1769, 1577, 11, 17, 'note', 'A', 0.91]
[2153, 53, 11, 17, 'note', 'A', 0.91]
[2424, 1514, 11, 17, 'note', 'A', 0.91]
[846, 764, 11, 17, 'note', 'A', 0.91]
[2265, 1167, 11, 17, 'note', 'A', 0.91]
[1205, 1169, 11, 17, 'note', 'A', 0.91]
[615, 214, 11, 17, 'note', 'A', 0.91]
[2333, 639, 11, 17, 'note', 'A', 0.91]
[2219, 690, 11, 17, 'note', 'A', 0.91]
[501, 1262, 11, 17, 'note', 'A', 0.91]
[628, 291, 11, 17, 'note', 'A', 0.91]
[1908, 1347, 11, 17, 'note', 'A', 0.91]
[471, 1435, 11, 17, 'note', 'A', 0.91]
[843, 1278, 11, 17, 'note', 'A', 0.91]
[880, 1565, 11, 17, 'note', 'A', 0.91]
[1095, 206, 11, 17, 'note', 'A', 0.91]
[1268, 811, 11, 17, 'note', 'A', 0.91]
[1495, 394, 11, 17, 'note', 'A', 0.91]
[1530, 1336, 11, 17, 'note', 'A', 0.91]
[716, 841, 11, 17, 'note', 'A', 0.91]
[1902, 476, 11, 17, 'note', 'A', 0.91]
[1767, 1240, 11, 17, 'note', 'A', 0.91]
[467, 885, 11, 17, 'note', 'A', 0.91]
[1299, 92, 11, 17, 'note', 'A', 0.91]
[1290, 1731, 11, 17, 'note', 'A', 0.91]
[1736, 1675, 11, 17, 'note', 'A', 0.91]
[2177, 438, 11, 17, 'note', 'A', 0.91]
[2374, 1595, 11, 17, 'note', 'A', 0.91]
[2395, 722, 11, 17, 'note', 'A', 0.91]
[1007, 15, 11, 17, 'note', 'A', 0.91]
[2188, 354, 11, 17, 'note', 'A', 0.91]
[702, 1489, 11, 17, 'note', 'A', 0.91]
[1226, 1608, 11, 17, 'note', 'A', 0.91]
[1527, 1448, 11, 17, 'note', 'A', 0.91]
[2336, 733, 11, 17, 'note', 'A', 0.91]
[846, 1107, 11, 17, 'note', 'A', 0.91]
[2187, 1153, 11, 17, 'note', 'A', 0.91]
[690, 567, 11, 17, 'note', 'A', 0.91]
[1298, 1392, 11, 17, 'note', 'A', 0.91]
[2439, 1325, 11, 17, 'note', 'A', 0.91]
[478, 445, 11, 17, 'note', 'A', 0.91]
[1065, 788, 11, 17, 'note', 'A', 0.91]
[1948, 1717, 11, 17, 'note', 'A', 0.91]
[2237, 253, 11, 17, 'note', 'A', 0.91]
[2331, 11, 11, 17, 'note', 'A', 0.91]
[1791, 541, 11, 17, 'note', 'A', 0.91]
[1980, 291, 11, 17, 'note', 'A', 0.91]
[2192, 1169, 11, 17, 'note', 'A', 0.91]
[2431, 729, 11, 17, 'note', 'A', 0.91]
[2258, 958, 11, 17, 'note', 'A', 0.91]
[2169, 487, 11, 17, 'note', 'A', 0.91]
[2190, 348, 11, 17, 'note', 'A', 0.91]
[1208, 1168, 11, 17, 'note', 'A', 0.91]
[2240, 1052, 11, 17, 'note', 'A', 0.91]
[466, 1176, 11, 17, 'note', 'A', 0.91]
[1956, 650, 11, 17, 'note', 'A', 0.91]
[2233, 436, 11, 17, 'note', 'A', 0.91]
[496, 981, 11, 17, 'note', 'A', 0.91]
[1249, 579, 11, 17, 'note', 'A', 0.91]
[2203, 968, 11, 17, 'note', 'A', 0.91]
[2221, 686, 11, 17, 'note', 'A', 0.91]
[1940, 405, 11, 17, 'note', 'A', 0.91]
[502, 696, 11, 17, 'note', 'A', 0.91]
[44, 674, 11, 17, 'note', 'A', 0.91]
[1495, 395, 11, 17, 'note', 'A', 0.91]
[348, 688, 11, 17, 'note', 'A', 0.91]
[542, 395, 11, 17, 'note', 'A', 0.91]
[1256, 1708, 11, 17, 'note', 'A', 0.91]
[729, 1700, 11, 17, 'note', 'A', 0.91]
[1967, 772, 11, 17, 'note', 'A', 0.91]
[500, 801, 11, 17, 'note', 'A', 0.91]
[1074, 843, 11, 17, 'note', 'A', 0.91]
[1491, 400, 11, 17, 'note', 'A', 0.91]
[1493, 1658, 11, 17, 'note', 'A', 0.91]
[2257, 677, 11, 17, 'note', 'A', 0.91]
[2341, 11, 11, 17, 'note', 'A', 0.91]
[1521, 615, 11, 17, 'note', 'A', 0.91]
[1698, 179, 11, 17, 'note', 'A', 0.91]
[499, 1264, 11, 17, 'note', 'A', 0.91]
[1057, 323, 11, 17, 'note', 'A', 0.91]
[1504, 988, 11, 17, 'note', 'A', 0.91]
[2231, 1375, 11, 17, 'note', 'A', 0.91]
