[199, 1232, 11, 17, 'note', 'A', 0.913]
[193, 236, 11, 17, 'note', 'A', 0.913]
[107, 1278, 11, 17, 'note', 'A', 0.913]
[292, 1414, 11, 17, 'note', 'A', 0.913]
[119, 682, 11, 17, 'note', 'A', 0.913]
[270, 734, 11, 17, 'note', 'A', 0.913]
[148, 1447, 11, 17, 'note', 'A', 0.913]
[346, 724, 11, 17, 'note', 'A', 0.913]
[184, 1360, 11, 17, 'note', 'A', 0.913]
[291, 1045, 11, 17, 'note', 'A', 0.913]
[299, 394, 11, 17, 'note', 'A', 0.913]
[281, 814, 11, 17, 'note', 'A', 0.913]
[314, 1235, 11, 17, 'note', 'A', 0.913]
[345, 1056, 11, 17, 'note', 'A', 0.913]
[298, 1329, 11, 17, 'note', 'A', 0.913]
[333, 1519, 11, 17, 'note', 'A', 0.913]
[331, 919, 11, 17, 'note', 'A', 0.913]
[358, 1647, 11, 17, 'note', 'A', 0.913]
[294, 1589, 11, 17, 'note', 'A', 0.913]
[280, 1330, 11, 17, 'note', 'A', 0.913]
[144, 440, 11, 17, 'note', 'A', 0.913]
[350, 193, 11, 17, 'note', 'A', 0.913]
[350, 190, 11, 17, 'note', 'A', 0.913]
[349, 1594, 11, 17, 'note', 'A', 0.913]
[320, 817, 11, 17, 'note', 'A', 0.913]
[356, 393, 11, 17, 'note', 'A', 0.913]
[300, 393, 11, 17, 'note', 'A', 0.913]
[308, 630, 11, 17, 'note', 'A', 0.913]
[109, 440, 11, 17, 'note', 'A', 0.913]
[108, 339, 11, 17, 'note', 'A', 0.913]
[146, 1170, 11, 17, 'note', 'A', 0.913]
[348, 1593, 11, 17, 'note', 'A', 0.913]
[345, 247, 11, 17, 'note', 'A', 0.913]
[357, 397, 11, 17, 'note', 'A', 0.913]
[82, 32, 11, 17, 'note', 'A', 0.913]
[84, 401, 11, 17, 'note', 'A', 0.913]
[352, 299, 11, 17, 'note', 'A', 0.913]
[150, 349, 11, 17, 'note', 'A', 0.913]
[139, 1730, 11, 17, 'note', 'A', 0.913]
[108, 1056, 11, 17, 'note', 'A', 0.913]
[317, 707, 11, 17, 'note', 'A', 0.913]
[339, 1516, 11, 17, 'note', 'A', 0.913]
[113, 1730, 11, 17, 'note', 'A', 0.913]
[293, 54, 11, 17, 'note', 'A', 0.913]
[137, 961, 11, 17, 'note', 'A', 0.913]
[326, 1298, 11, 17, 'note', 'A', 0.913]
[73, 40, 11, 17, 'note', 'A', 0.913]
[348, 192, 11, 17, 'note', 'A', 0.913]
[310, 627, 11, 17, 'note', 'A', 0.913]
[297, 1235, 11, 17, 'note', 'A', 0.913]
[145, 1172, 11, 17, 'note', 'A', 0.913]
[351, 299, 11, 17, 'note', 'A', 0.913]
[354, 1319, 11, 17, 'note', 'A', 0.913]
[285, 639, 11, 17, 'note', 'A', 0.913]
[295, 52, 11, 17, 'note', 'A', 0.913]
[299, 398, 11, 17, 'note', 'A', 0.913]
[333, 473, 11, 17, 'note', 'A', 0.913]
[137, 43, 11, 17, 'note', 'A', 0.913]
[53, 57, 11, 17, 'note', 'A', 0.913]
[86, 199, 11, 17, 'note', 'A', 0.913]
[89, 1247, 11, 17, 'note', 'A', 0.913]
[353, 1652, 11, 17, 'note', 'A', 0.913]
[119, 1721, 11, 17, 'note', 'A', 0.913]
[333, 169, 11, 17, 'note', 'A', 0.913]
[318, 1511, 11, 17, 'note', 'A', 0.913]
[249, 636, 11, 17, 'note', 'A', 0.913]
[194, 512, 11, 17, 'note', 'A', 0.913]
[179, 1465, 11, 17, 'note', 'A', 0.913]
[147, 1163, 11, 17, 'note', 'A', 0.913]
[278, 818, 11, 17, 'note', 'A', 0.913]
[106, 237, 11, 17, 'note', 'A', 0.913]
[140, 1474, 11, 17, 'note', 'A', 0.913]
[125, 1642, 11, 17, 'note', 'A', 0.913]
[139, 1476, 11, 17, 'note', 'A', 0.913]
[331, 169, 11, 17, 'note', 'A', 0.913]
[333, 472, 11, 17, 'note', 'A', 0.913]
[367, 1690, 11, 17, 'note', 'A', 0.913]
[190, 643, 11, 17, 'note', 'A', 0.913]
[252, 5, 11, 17, 'note', 'A', 0.913]
[126, 1644, 11, 17, 'note', 'A', 0.913]
[281, 1001, 11, 17, 'note', 'A', 0.913]
[291, 189, 11, 17, 'note', 'A', 0.913]
[312, 1236, 11, 17, 'note', 'A', 0.913]
[275, 471, 11, 17, 'note', 'A', 0.913]
[293, 1414, 11, 17, 'note', 'A', 0.913]
[87, 480, 11, 17, 'note', 'A', 0.913]
[37, 410, 11, 17, 'note', 'A', 0.913]
[138, 959, 11, 17, 'note', 'A', 0.913]
[85, 400, 11, 17, 'note', 'A', 0.913]
[85, 480, 11, 17, 'note', 'A', 0.913]
[299, 294, 11, 17, 'note', 'A', 0.913]
[250, 5, 11, 17, 'note', 'A', 0.913]
[110, 1362, 11, 17, 'note', 'A', 0.913]
[329, 922, 11, 17, 'note', 'A', 0.913]
[156, 1730, 11, 17, 'note', 'A', 0.913]
[317, 708, 11, 17, 'note', 'A', 0.913]
[149, 1362, 11, 17, 'note', 'A', 0.913]
[343, 629, 11, 17, 'note', 'A', 0.913]
[279, 1330, 11, 17, 'note', 'A', 0.913]
[300, 291, 11, 17, 'note', 'A', 0.913]
[86, 296, 11, 17, 'note', 'A', 0.913]
[90, 393, 11, 17, 'note', 'A', 0.913]
[119, 1720, 11, 17, 'note', 'A', 0.913]
[36, 412, 11, 17, 'note', 'A', 0.913]
[308, 913, 11, 17, 'note', 'A', 0.913]
[311, 1681, 11, 17, 'note', 'A', 0.913]
[287, 914, 11, 17, 'note', 'A', 0.913]
[267, 2, 11, 17, 'note', 'A', 0.913]
[356, 1649, 11, 17, 'note', 'A', 0.913]
[162, 1721, 11, 17, 'note', 'A', 0.913]
[291, 237, 11, 17, 'note', 'A', 0.913]
[354, 291, 11, 17, 'note', 'A', 0.913]
[169, 1643, 11, 17, 'note', 'A', 0.913]
[295, 1236, 11, 17, 'note', 'A', 0.913]
[334, 1518, 11, 17, 'note', 'A', 0.913]
[183, 1358, 11, 17, 'note', 'A', 0.913]
[316, 514, 11, 17, 'note', 'A', 0.913]
[137, 960, 11, 17, 'note', 'A', 0.913]
[278, 1237, 11, 17, 'note', 'A', 0.913]
[184, 1358, 11, 17, 'note', 'A', 0.913]
[99, 189, 11, 17, 'note', 'A', 0.913]
[294, 1588, 11, 17, 'note', 'A', 0.913]
[192, 237, 11, 17, 'note', 'A', 0.913]
[345, 246, 11, 17, 'note', 'A', 0.913]
[131, 510, 11, 17, 'note', 'A', 0.913]
[101, 1173, 11, 17, 'note', 'A', 0.913]
[303, 1644, 11, 17, 'note', 'A', 0.913]
[84, 481, 11, 17, 'note', 'A', 0.913]
[135, 246, 11, 17, 'note', 'A', 0.913]
[125, 1371, 11, 17, 'note', 'A', 0.913]
[304, 639, 11, 17, 'note', 'A', 0.913]
[130, 881, 11, 17, 'note', 'A', 0.913]
[329, 481, 11, 17, 'note', 'A', 0.913]
[108, 1370, 11, 17, 'note', 'A', 0.913]
[111, 1730, 11, 17, 'note', 'A', 0.913]
[293, 590, 11, 17, 'note', 'A', 0.913]
[131, 511, 11, 17, 'note', 'A', 0.913]
[366, 1691, 11, 17, 'note', 'A', 0.913]
[212, 608, 11, 17, 'note', 'A', 0.913]
[164, 1651, 11, 17, 'note', 'A', 0.913]
[333, 1518, 11, 17, 'note', 'A', 0.913]
[177, 950, 11, 17, 'note', 'A', 0.913]
[280, 1235, 11, 17, 'note', 'A', 0.913]
[296, 1331, 11, 17, 'note', 'A', 0.913]
[102, 245, 11, 17, 'note', 'A', 0.913]
[314, 1329, 11, 17, 'note', 'A', 0.913]
[264, 640, 11, 17, 'note', 'A', 0.913]
[303, 1444, 11, 17, 'note', 'A', 0.913]
[252, 734, 11, 17, 'note', 'A', 0.913]
[158, 1046, 11, 17, 'note', 'A', 0.913]
[101, 683, 11, 17, 'note', 'A', 0.913]
[264, 1329, 11, 17, 'note', 'A', 0.913]
[82, 34, 11, 17, 'note', 'A', 0.913]
[125, 1644, 11, 17, 'note', 'A', 0.913]
[134, 964, 11, 17, 'note', 'A', 0.913]
[297, 1329, 11, 17, 'note', 'A', 0.913]
[265, 2, 11, 17, 'note', 'A', 0.913]
[148, 1450, 11, 17, 'note', 'A', 0.913]
[332, 476, 11, 17, 'note', 'A', 0.913]
[352, 402, 11, 17, 'note', 'A', 0.913]
[142, 1278, 11, 17, 'note', 'A', 0.913]
[147, 1267, 11, 17, 'note', 'A', 0.913]
[337, 996, 11, 17, 'note', 'A', 0.913]
[100, 113, 11, 17, 'note', 'A', 0.913]
[331, 480, 11, 17, 'note', 'A', 0.913]
[148, 1556, 11, 17, 'note', 'A', 0.913]
[110, 440, 11, 17, 'note', 'A', 0.913]
[37, 412, 11, 17, 'note', 'A', 0.913]
[356, 401, 11, 17, 'note', 'A', 0.913]
[124, 1649, 11, 17, 'note', 'A', 0.913]
[245, 639, 11, 17, 'note', 'A', 0.913]
[293, 55, 11, 17, 'note', 'A', 0.913]
[136, 962, 11, 17, 'note', 'A', 0.913]
[116, 431, 11, 17, 'note', 'A', 0.913]
[89, 290, 11, 17, 'note', 'A', 0.913]
[255, 5, 11, 17, 'note', 'A', 0.913]
[52, 58, 11, 17, 'note', 'A', 0.913]
[254, 1236, 11, 17, 'note', 'A', 0.913]
[313, 1236, 11, 17, 'note', 'A', 0.913]
[301, 1102, 11, 17, 'note', 'A', 0.913]
[353, 299, 11, 17, 'note', 'A', 0.913]
[88, 295, 11, 17, 'note', 'A', 0.913]
[151, 348, 11, 17, 'note', 'A', 0.913]
[296, 1236, 11, 17, 'note', 'A', 0.913]
[107, 1057, 11, 17, 'note', 'A', 0.913]
[120, 1476, 11, 17, 'note', 'A', 0.913]
[286, 56, 11, 17, 'note', 'A', 0.913]
[240, 210, 11, 17, 'note', 'A', 0.913]
[161, 521, 11, 17, 'note', 'A', 0.913]
[115, 1044, 11, 17, 'note', 'A', 0.913]
[146, 1171, 11, 17, 'note', 'A', 0.913]
[305, 1444, 11, 17, 'note', 'A', 0.913]
[142, 1371, 11, 17, 'note', 'A', 0.913]
[189, 622, 11, 17, 'note', 'A', 0.913]
[92, 440, 11, 17, 'note', 'A', 0.913]
[89, 393, 11, 17, 'note', 'A', 0.913]
[135, 1054, 11, 17, 'note', 'A', 0.913]
[69, 45, 11, 17, 'note', 'A', 0.913]
[285, 735, 11, 17, 'note', 'A', 0.913]
[317, 1326, 11, 17, 'note', 'A', 0.913]
[193, 621, 11, 17, 'note', 'A', 0.913]
[169, 871, 11, 17, 'note', 'A', 0.913]
[337, 1003, 11, 17, 'note', 'A', 0.913]
[357, 1648, 11, 17, 'note', 'A', 0.913]
[145, 1557, 11, 17, 'note', 'A', 0.913]
[354, 297, 11, 17, 'note', 'A', 0.913]
[333, 915, 11, 17, 'note', 'A', 0.913]
[104, 245, 11, 17, 'note', 'A', 0.913]
[281, 1000, 11, 17, 'note', 'A', 0.913]
[144, 1371, 11, 17, 'note', 'A', 0.913]
[295, 1237, 11, 17, 'note', 'A', 0.913]
[199, 1640, 11, 17, 'note', 'A', 0.913]
[191, 236, 11, 17, 'note', 'A', 0.913]
[88, 84, 11, 17, 'note', 'A', 0.913]
[335, 1517, 11, 17, 'note', 'A', 0.913]
[359, 808, 11, 17, 'note', 'A', 0.913]
[86, 1249, 11, 17, 'note', 'A', 0.913]
[116, 1046, 11, 17, 'note', 'A', 0.913]
[349, 1592, 11, 17, 'note', 'A', 0.913]
[355, 1099, 11, 17, 'note', 'A', 0.913]
[151, 1058, 11, 17, 'note', 'A', 0.913]
[345, 199, 11, 17, 'note', 'A', 0.913]
[137, 681, 11, 17, 'note', 'A', 0.913]
[280, 1236, 11, 17, 'note', 'A', 0.913]
[317, 1510, 11, 17, 'note', 'A', 0.913]
[353, 1107, 11, 17, 'note', 'A', 0.913]
[283, 808, 11, 17, 'note', 'A', 0.913]
[176, 767, 11, 17, 'note', 'A', 0.913]
[344, 1507, 11, 17, 'note', 'A', 0.913]
[152, 1057, 11, 17, 'note', 'A', 0.913]
[181, 1361, 11, 17, 'note', 'A', 0.913]
[85, 297, 11, 17, 'note', 'A', 0.913]
[109, 882, 11, 17, 'note', 'A', 0.913]
[69, 46, 11, 17, 'note', 'A', 0.913]
[143, 1277, 11, 17, 'note', 'A', 0.913]
[136, 681, 11, 17, 'note', 'A', 0.913]
[179, 1466, 11, 17, 'note', 'A', 0.913]
[119, 1477, 11, 17, 'note', 'A', 0.913]
[109, 1276, 11, 17, 'note', 'A', 0.913]
[101, 778, 11, 17, 'note', 'A', 0.913]
[331, 170, 11, 17, 'note', 'A', 0.913]
[346, 196, 11, 17, 'note', 'A', 0.913]
[162, 521, 11, 17, 'note', 'A', 0.913]
[118, 682, 11, 17, 'note', 'A', 0.913]
[356, 394, 11, 17, 'note', 'A', 0.913]
[76, 39, 11, 17, 'note', 'A', 0.913]
[175, 671, 11, 17, 'note', 'A', 0.913]
[252, 735, 11, 17, 'note', 'A', 0.913]
[315, 1330, 11, 17, 'note', 'A', 0.913]
[181, 1265, 11, 17, 'note', 'A', 0.913]
[135, 963, 11, 17, 'note', 'A', 0.913]
[89, 84, 11, 17, 'note', 'A', 0.913]
[102, 682, 11, 17, 'note', 'A', 0.913]
[137, 1476, 11, 17, 'note', 'A', 0.913]
[347, 1052, 11, 17, 'note', 'A', 0.913]
[359, 1644, 11, 17, 'note', 'A', 0.913]
[172, 672, 11, 17, 'note', 'A', 0.913]
[200, 1232, 11, 17, 'note', 'A', 0.913]
[106, 1163, 11, 17, 'note', 'A', 0.913]
[359, 1646, 11, 17, 'note', 'A', 0.913]
[266, 2, 11, 17, 'note', 'A', 0.913]
[342, 996, 11, 17, 'note', 'A', 0.913]
[103, 246, 11, 17, 'note', 'A', 0.913]
[89, 397, 11, 17, 'note', 'A', 0.913]
[319, 1226, 11, 17, 'note', 'A', 0.913]
